year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,283063.37,7774.86,205128.8,266691.16
2018,283063.37,7819.48,205128.8,270856.28
2019,283063.37,7840.82,205128.8,272938.84
2020,283063.37,7861.85,205128.8,275021.4
2021,283063.37,7887.02,205128.8,277798.14
2022,283063.37,7896.91,205128.8,278492.33
2023,283063.37,7900.65,205128.8,279186.51
2024,283063.37,7892.4,205128.8,278492.33
2025,283063.37,7886.25,205128.8,277798.14
2026,283063.37,7883.57,205128.8,277103.95
2027,283063.37,7891.97,205128.8,278492.33
2028,283063.37,7900.17,205128.8,279186.51
2029,283063.37,7824.53,205128.8,271550.47
2030,283063.37,7767.74,205128.8,265996.98
2031,283063.37,7732.69,205128.8,262526.05
2032,283063.37,,,264608.61
2033,283063.37,,,268773.72
2034,283063.37,,,272244.65
2035,283063.37,,,274327.21
2036,283063.37,,,272938.84
