year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7774.85653282,5053.65674633
2018,7819.47684918,5082.65995197
2019,7840.81664841,5096.53082147
2020,7861.84873994,5110.20168096
2021,7887.01599115,5126.56039425
2022,7896.91392232,5132.99404951
2023,7900.64690263,5135.42048671
2024,7892.40087598,5130.06056939
2025,7886.24672189,5126.06036923
2026,7883.56912502,5124.31993127
2027,7891.97170471,5129.78160806
2028,7900.17184512,5135.11169933
2029,7824.5270344,5085.94257236
2030,7767.74416614,5049.03370799
2031,7732.68708134,5026.24660287
