year,Base case cost,Modeled transmission and interties
2021,154186.423819,
2022,158640.172769,
2023,162134.854836,
2024,164388.005116,
2025,167851.484664,
2026,171769.864087,
2027,174739.030053,
2028,177696.700355,
2029,180789.034158,
2030,182789.279815,
2031,187096.869599,
2032,190925.747061,
2033,194853.97991,
2034,199104.91249,
2035,201503.400817,
2036,205356.090727,
2037,208183.203122,
2038,212365.982833,
2039,215622.540417,
2040,219829.953695,
