year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,3422.16,731542.0,0.0,731542.0
2004,,3422.16,671561.0,0.0,671561.0
2005,,3422.16,657112.0,0.0,657112.0
2006,,3422.16,636139.0,0.0,636139.0
2007,,3422.16,610499.0,0.0,610499.0
2008,,3422.16,646697.0,0.0,646697.0
2009,,3422.16,614894.0,0.0,614894.0
2010,,3422.16,609869.0,0.0,609869.0
2011,,3422.16,574790.0,0.0,574790.0
2012,,3422.16,584001.0,0.0,584001.0
2013,,3422.16,574741.0,0.0,574741.0
2014,start of forecast,3422.16,581000.0,5347.0,575653.0
2015,,3422.16,580000.0,5347.0,574653.0
2016,,3422.16,580000.0,5347.0,574653.0
2017,,3422.16,579000.0,5347.0,573653.0
2018,,3422.16,578000.0,5347.0,572653.0
2019,,3422.16,577000.0,5347.0,571653.0
2020,,3422.16,577000.0,5347.0,571653.0
2021,,3422.16,576000.0,5347.0,570653.0
2022,,3422.16,575000.0,5347.0,569653.0
2023,,3422.16,574000.0,5347.0,568653.0
2024,,3422.16,572000.0,5347.0,566653.0
2025,,3422.16,571000.0,5347.0,565653.0
2026,,3422.16,570000.0,5347.0,564653.0
2027,,3422.16,569000.0,5347.0,563653.0
2028,,3422.16,568000.0,5347.0,562653.0
2029,,3422.16,566000.0,5347.0,560653.0
2030,,3422.16,565000.0,5347.0,559653.0
2031,,3422.16,564000.0,5347.0,558653.0
2032,,3422.16,563000.0,5347.0,557653.0
2033,,3422.16,561000.0,5347.0,555653.0
2034,,3422.16,560000.0,5347.0,554653.0
2035,,3422.16,559000.0,5347.0,553653.0
2036,,3422.16,557000.0,5347.0,551653.0
2037,,3422.16,556000.0,5347.0,550653.0
2038,,3422.16,555000.0,5347.0,549653.0
2039,,3422.16,554000.0,5347.0,548653.0
2040,,3422.16,552000.0,5347.0,546653.0
