year,Base case diesel consumed,Modeled residential energy efficiency
2017,115155.823277,82835.9913875
2018,114244.511296,81924.6794068
2019,114244.511296,81924.6794068
2020,114244.511296,81924.6794068
2021,113333.199316,81013.3674261
2022,113333.199316,81013.3674261
2023,112421.887335,80102.0554453
2024,111510.575354,79190.7434646
2025,111510.575354,79190.7434646
2026,110599.263373,78279.4314839
2027,109687.951393,77368.1195031
2028,108776.639412,76456.8075224
2029,108776.639412,76456.8075224
2030,107865.327431,75545.4955417
2031,106954.015451,74634.183561
2032,106042.70347,73722.8715802
2033,105131.391489,72811.5595995
2034,105131.391489,72811.5595995
2035,104220.079508,71900.2476188
2036,103308.767528,70988.935638
