year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,133422.0,98654.099393
2018,133422.0,98654.099393
2019,133422.0,98654.099393
2020,133422.0,98654.099393
2021,133422.0,98654.099393
2022,133422.0,98654.099393
2023,133422.0,98654.099393
2024,133422.0,98654.099393
2025,133422.0,98654.099393
2026,133422.0,98654.099393
2027,133422.0,98654.099393
2028,133422.0,98654.099393
2029,133422.0,98654.099393
2030,133422.0,98654.099393
2031,133422.0,98654.099393
2032,,
2033,,
2034,,
2035,,
2036,,
