year,Base case cost,Modeled biomass for heat (cordwood)
2017,353744.846392,386635.045558
2018,395105.666392,417217.81637
2019,452477.126392,459639.079109
2020,480495.746392,480356.439981
2021,499174.826392,494168.013896
2022,513851.246392,505019.96483
2023,524525.006392,512912.292781
2024,532530.326392,518831.538745
2025,543204.086392,526723.866696
2026,555212.066392,535602.735642
2027,565885.826392,543495.063593
2028,573891.146392,549414.309557
2029,585899.126392,558293.178502
2030,592570.226392,563225.883472
2031,605912.426392,573091.293411
2032,,
2033,,
2034,,
2035,,
2036,,
