year,Base case cost,Akiachak wind feasibility & conceptual design,Akiachak wind_ancec,Modeled wind power
2019,489569.82074,795683.102204,556240.412422,795683.102204
2020,526124.44741,828014.116607,568660.111854,828014.116607
2021,559551.252595,858551.081821,585573.545772,858551.081821
2022,584425.152875,881202.028276,597744.852769,881202.028276
2023,603867.536826,899088.34455,608295.421422,899088.34455
2024,622249.920946,916136.956375,619056.249573,916136.956375
2025,642571.468614,934902.436366,630485.981943,934902.436366
2026,665464.034078,956016.638771,643216.472781,956016.638771
2027,686745.514162,975742.051177,655606.137567,975742.051177
2028,708948.32923,996611.093951,670187.396666,996611.093951
2029,731498.521182,1017605.21823,683845.773319,1017605.21823
2030,750815.106097,1035810.32623,696811.061593,1035810.32623
2031,777649.612942,1060644.17463,712213.234483,1060644.17463
2032,803092.467952,1084308.66658,727494.014867,1084308.66658
2033,829848.350399,1109063.89059,742817.56336,1109063.89059
2034,857989.451775,1135204.33352,759526.330782,1135204.33352
2035,881546.036014,1157649.44085,776731.618379,1157649.44085
2036,913155.188084,1187035.63909,795638.177167,1187035.63909
2037,935764.705718,1208533.67981,811896.398159,1208533.67981
2038,966305.995518,1237074.31117,831005.354004,1237074.31117
