year,Base case cost,Unalakleet (anvik river)
2021,165680.549904,4476265.8748
2022,170178.664381,4472096.5556
2023,173938.780863,4469356.09682
2024,176568.52485,4466929.83783
2025,179573.94655,4464156.97041
2026,184114.637834,4460752.51416
2027,187126.738248,4457986.32545
2028,189762.326111,4455565.91034
2029,193956.559061,4452537.28189
2030,196220.643408,4450467.64939
2031,199994.117319,4447018.26191
2032,204596.586717,4443675.58377
2033,208756.591252,4439890.44076
2034,213386.610349,4436575.31232
2035,216039.729838,4434172.42883
2036,220208.917607,4430396.46906
2037,222862.037096,4427993.58557
2038,227531.293642,4424717.69458
2039,230949.960825,4421635.78651
2040,235888.035645,4417184.14151
2041,235888.035645,4417184.14151
2042,236406.470889,4417702.57675
2043,236406.470889,4417702.57675
2044,236406.470889,4417702.57675
2045,236406.470889,4417702.57675
2046,236406.470889,4417702.57675
2047,236406.470889,4417702.57675
2048,236406.470889,4417702.57675
2049,236406.470889,4417702.57675
2050,236406.470889,4417702.57675
