year,Base case diesel consumed,Modeled transmission and interties
2021,74968.5746172,37484.2873086
2022,74968.5746172,37484.2873086
2023,75135.5424894,37567.7712447
2024,75135.5424894,37567.7712447
2025,75135.5424894,37567.7712447
2026,75302.5103616,37651.2551808
2027,75302.5103616,37651.2551808
2028,75302.5103616,37651.2551808
2029,75469.4782338,37734.7391169
2030,75469.4782338,37734.7391169
2031,75469.4782338,37734.7391169
2032,75636.446106,37818.223053
2033,75636.446106,37818.223053
2034,75803.4139782,37901.7069891
2035,75803.4139782,37901.7069891
2036,75803.4139782,37901.7069891
2037,75803.4139782,37901.7069891
2038,75970.3818504,37985.1909252
2039,75970.3818504,37985.1909252
2040,75970.3818504,37985.1909252
