year,Base case diesel consumed,Modeled solar power (pv)
2016,37317.3194364,36631.048181
2017,37400.8033725,36720.0222871
2018,37400.8033725,36725.4685358
2019,37400.8033725,36730.8712145
2020,37484.2873086,36819.7146079
2021,37484.2873086,36825.0311895
2022,37484.2873086,36830.3052384
2023,37567.7712447,36919.0210311
2024,37567.7712447,36924.2110328
2025,37567.7712447,36929.3595145
2026,37651.2551808,37017.9507444
2027,37651.2551808,37023.0171799
2028,37651.2551808,37028.0430839
2029,37734.7391169,37116.5127168
2030,37734.7391169,37121.458528
2031,37734.7391169,37126.3647727
2032,37818.223053,37214.7157036
2033,37818.223053,37219.5437624
2034,37901.7069891,37307.8171328
2035,37901.7069891,37312.5682516
