year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,1.64,
2006,,3.09,4.6
2008,,4.29,5.05
2009,,4.4,5.05
2012,,4.13,6.65
2013,,4.22,6.85
2014,,3.98,6.85
2016,start of forecast,2.21,4.41
2017,,2.64,4.84
2018,,2.95,5.15
2019,,3.38,5.58
2020,,3.58,5.78
2021,,3.72,5.92
2022,,3.82,6.02
2023,,3.89,6.09
2024,,3.95,6.15
2025,,4.02,6.22
2026,,4.11,6.31
2027,,4.18,6.38
2028,,4.24,6.44
2029,,4.33,6.53
2030,,4.37,6.57
2031,,4.46,6.66
2032,,4.55,6.75
2033,,4.64,6.84
2034,,4.74,6.94
2035,,4.8,7.0
2036,,4.89,7.09
2037,,4.95,7.15
2038,,5.04,7.24
2039,,5.12,7.32
2040,,5.22,7.42
