year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,56555.55,6047.07,42634.32,85830.57
2018,56147.21,6014.28,42634.32,86822.62
2019,55840.95,5981.27,42634.32,87814.68
2020,55534.7,5949.54,42634.32,88806.73
2021,55228.44,5918.76,42634.32,89798.79
2022,54922.18,5890.03,42634.32,91782.89
2023,54615.92,5863.0,42634.32,92774.95
2024,54411.75,5835.85,42634.32,93767.0
2025,54105.49,5804.31,42634.32,94759.05
2026,53595.06,5762.5,42634.32,95751.11
2027,53288.81,5731.3,42634.32,96743.16
2028,53084.64,5704.25,42634.32,97735.22
2029,52676.29,5670.68,42634.32,99719.32
2030,52165.86,5613.47,42634.32,101703.43
2031,51757.52,5577.43,42634.32,102695.48
2032,51451.26,,,103687.54
2033,51042.92,,,105671.65
2034,50634.58,,,106663.7
2035,50226.23,,,108647.81
2036,49817.89,,,109639.86
