year,Base case diesel consumed,Modeled solar power (pv)
2016,56861.8111908,56002.0683949
2017,56555.5536799,55702.6888263
2018,56147.210332,55301.1683973
2019,55840.9528211,55001.6792219
2020,55534.6953102,54702.1358998
2021,55228.4377993,54402.5388642
2022,54922.1802884,54102.8885447
2023,54615.9227775,53803.1853678
2024,54411.7511036,53605.5155931
2025,54105.4935927,53305.7079663
2026,53595.0644078,52801.6770665
2027,53288.8068969,52501.7666543
2028,53084.635223,52303.8913023
2029,52676.2918751,51901.7939058
2030,52165.8626903,51397.5607047
2031,51757.5193424,50995.3637727
2032,51451.2618315,50695.2035064
2033,51042.9184837,50292.9086251
2034,50634.5751358,49890.5653561
2035,50226.2317879,49488.1740865
