year,Base case diesel consumed,Modeled diesel efficiency
2019,55840.9528211,50764.5025647
2020,55534.6953102,50486.0866457
2021,55228.4377993,50207.6707267
2022,54922.1802884,49929.2548077
2023,54615.9227775,49650.8388887
2024,54411.7511036,49465.228276
2025,54105.4935927,49186.812357
2026,53595.0644078,48722.7858253
2027,53288.8068969,48444.3699063
2028,53084.635223,48258.7592936
2029,52676.2918751,47887.5380683
2030,52165.8626903,47423.5115366
2031,51757.5193424,47052.2903113
2032,51451.2618315,46773.8743923
2033,51042.9184837,46402.653167
2034,50634.5751358,46031.4319416
2035,50226.2317879,45660.2107163
2036,49817.8884401,45288.989491
2037,49511.6309291,45010.573572
2038,49205.3734182,44732.157653
