year,Base case cost,Modeled biomass for heat (pellet)
2017,152011.398661,164801.041769
2018,163735.338661,172803.3316
2019,180669.918661,184531.132812
2020,188485.878661,189762.362853
2021,194130.738661,193452.893104
2022,198472.938661,196222.042542
2023,201078.258661,197759.872383
2024,203683.578661,199305.218502
2025,206288.898661,200857.904737
2026,210196.878661,203347.021253
2027,212802.198661,204913.875651
2028,215407.518661,206487.566065
2029,218881.278661,208687.440407
2030,220618.158661,209654.817816
2031,224526.138661,212177.332094
2032,,
2033,,
2034,,
2035,,
2036,,
