year,Base case cost,Modeled diesel efficiency
2019,91181.3004599,257109.933019
2020,96785.6555525,258121.570621
2021,100818.126831,257799.923654
2022,103777.203464,256595.921106
2023,105083.893891,253981.016606
2024,106361.164513,251428.495057
2025,107870.524705,249174.003329
2026,110097.790237,247657.152136
2027,111558.117421,245526.091399
2028,112998.831402,243458.262123
2029,115079.413057,242051.292533
2030,115821.419755,239504.743049
2031,118182.708841,238505.762996
2032,120189.740984,237258.456352
2033,122803.55006,236634.762296
2034,125085.569117,235779.75076
2035,126375.915208,234091.880227
2036,128603.997956,233323.550197
2037,129532.732154,231439.475311
2038,132024.360781,231040.159922
