year,Base case diesel consumed,Modeled non-residential ashp
2017,43421.8068601,32401.3709461
2018,43421.8068601,32401.3709461
2019,43421.8068601,32401.3709461
2020,43421.8068601,32401.3709461
2021,43421.8068601,32401.3709461
2022,43421.8068601,32401.3709461
2023,43421.8068601,32401.3709461
2024,43421.8068601,32401.3709461
2025,43421.8068601,32401.3709461
2026,43421.8068601,32401.3709461
2027,43421.8068601,32401.3709461
2028,43421.8068601,32401.3709461
2029,43421.8068601,32401.3709461
2030,43421.8068601,32401.3709461
2031,43421.8068601,32401.3709461
