year,Base case cost,Manley hot springs (mccloud ranch creek)
2021,100818.126831,431141.605643
2022,103777.203464,426843.719332
2023,105083.893891,421230.96024
2024,106361.164513,415744.703429
2025,107870.524705,410642.803866
2026,110097.790237,406274.121604
2027,111558.117421,401417.101673
2028,112998.831402,396682.278857
2029,115079.413057,392636.885733
2030,115821.419755,387566.007687
2031,118182.708841,384024.171695
2032,120189.740984,380301.516803
2033,122803.55006,377267.129358
2034,125085.569117,374023.952772
2035,126375.915208,370042.608096
2036,128603.997956,366982.915952
2037,129532.732154,362916.277897
2038,132024.360781,360302.091365
2039,133887.977915,357302.526956
2040,136327.304667,354851.971485
2041,135616.326056,349799.919417
2042,135260.836751,345205.10056
2043,134549.85814,340354.151702
2044,134194.368835,335955.722686
2045,133483.390224,331296.56078
2046,132772.411614,326729.934415
2047,132416.922309,322609.164108
2048,132061.433003,318576.642575
2049,131350.454393,314274.812146
2050,130994.965087,310412.631636
2051,130994.965087,306988.128511
2052,130994.965087,303643.887176
2053,130994.965087,300378.026509
2054,130994.965087,297188.709425
2055,130994.965087,294074.14197
2056,130994.965087,291032.572193
2057,130994.965087,288062.289211
2058,130994.965087,285161.622225
2059,130994.965087,282328.939644
2060,130994.965087,279562.648043
2061,130994.965087,276861.191403
2062,130994.965087,274223.050154
2063,130994.965087,271646.740332
2064,130994.965087,269130.812796
2065,130994.965087,266673.852292
2066,130994.965087,264274.476793
2067,130994.965087,261931.336676
2068,130994.965087,259643.113886
2069,130994.965087,257408.521325
2070,130994.965087,255226.302032
