year,Base case diesel consumed,Manley hot springs (mccloud ranch creek)
2021,34526.755764,29565.9000569
2022,34363.3124052,29402.4566982
2023,34118.1473671,29157.29166
2024,33872.982329,28912.1266219
2025,33709.5389702,28748.6832631
2026,33464.3739321,28503.518225
2027,33300.9305733,28340.0748663
2028,33137.4872146,28176.6315075
2029,32974.0438558,28013.1881487
2030,32810.6004971,27849.74479
2031,32647.1571383,27686.3014312
2032,32483.7137795,27522.8580725
2033,32401.9921002,27441.1363931
2034,32238.5487414,27277.6930343
2035,32075.1053826,27114.2496756
2036,31911.6620239,26950.8063168
2037,31748.2186651,26787.3629581
2038,31584.7753064,26623.9195993
2039,31503.053627,26542.1979199
2040,31339.6102682,26378.7545612
2041,31176.1669095,26215.3112024
2042,31094.4452301,26133.589523
2043,30931.0018713,25970.1461643
2044,30849.280192,25888.4244849
2045,30685.8368332,25724.9811261
2046,30522.3934745,25561.5377674
2047,30440.6717951,25479.816088
2048,30358.9501157,25398.0944086
2049,30195.5067569,25234.6510499
2050,30113.7850776,25152.9293705
2051,30113.7850776,25152.9293705
2052,30113.7850776,25152.9293705
2053,30113.7850776,25152.9293705
2054,30113.7850776,25152.9293705
2055,30113.7850776,25152.9293705
2056,30113.7850776,25152.9293705
2057,30113.7850776,25152.9293705
2058,30113.7850776,25152.9293705
2059,30113.7850776,25152.9293705
2060,30113.7850776,25152.9293705
2061,30113.7850776,25152.9293705
2062,30113.7850776,25152.9293705
2063,30113.7850776,25152.9293705
2064,30113.7850776,25152.9293705
2065,30113.7850776,25152.9293705
2066,30113.7850776,25152.9293705
2067,30113.7850776,25152.9293705
2068,30113.7850776,25152.9293705
2069,30113.7850776,25152.9293705
2070,30113.7850776,25152.9293705
