year,Base case cost,Modeled biomass for heat (cordwood)
2017,152011.398661,186449.438302
2018,163735.338661,194384.838002
2019,180669.918661,206190.258165
2020,188485.878661,211270.013877
2021,194130.738661,214760.818106
2022,198472.938661,217304.42491
2023,201078.258661,218579.389906
2024,203683.578661,219869.62326
2025,206288.898661,221174.767119
2026,210196.878661,223457.67947
2027,212802.198661,224791.604135
2028,215407.518661,226139.415292
2029,218881.278661,228142.925774
2030,220618.158661,228875.402842
2031,224526.138661,231226.158466
2032,,
2033,,
2034,,
2035,,
2036,,
