year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.55
2004,,1.36,2.2
2005,,1.93,2.45
2006,,2.35,2.87
2008,,3.47,4.08
2009,,2.39,4.55
2010,,3.97,4.55
2014,,3.81,4.48
2016,start of forecast,1.59,3.14
2017,,1.95,3.5
2018,,2.22,3.77
2019,,2.61,4.16
2020,,2.79,4.34
2021,,2.92,4.47
2022,,3.02,4.57
2023,,3.08,4.63
2024,,3.14,4.69
2025,,3.2,4.75
2026,,3.29,4.84
2027,,3.35,4.9
2028,,3.41,4.96
2029,,3.49,5.04
2030,,3.53,5.08
2031,,3.62,5.17
2032,,3.7,5.25
2033,,3.79,5.34
2034,,3.88,5.43
2035,,3.94,5.49
2036,,4.03,5.58
2037,,4.08,5.63
2038,,4.18,5.73
2039,,4.25,5.8
2040,,4.35,5.9
