year,Base case cost,Modeled non-residential energy efficiency
2017,298576.810827,317978.409256
2018,315537.329667,332229.541976
2019,340035.856881,353445.151782
2020,351342.869441,362559.060205
2021,359509.045179,368814.392958
2022,365790.718824,373365.925026
2023,369559.723011,375635.226314
2024,373328.727197,377932.585619
2025,377097.731384,380257.345328
2026,382751.237664,384342.084883
2027,386520.241851,386719.733865
2028,390289.246038,389122.901467
2029,395314.584953,392706.470679
2030,397827.254411,394003.414158
2031,403480.760691,398212.826431
