year,Base case diesel consumed,Modeled residential energy efficiency
2017,6525.60222287,4671.25471442
2018,6525.60222287,4671.25471442
2019,5503.05783559,3648.71032714
2020,5503.05783559,3648.71032714
2021,5503.05783559,3648.71032714
2022,5503.05783559,3648.71032714
2023,5503.05783559,3648.71032714
2024,5503.05783559,3648.71032714
2025,5503.05783559,3648.71032714
2026,5503.05783559,3648.71032714
2027,5503.05783559,3648.71032714
2028,4480.51344831,2626.16593985
2029,4480.51344831,2626.16593985
2030,4480.51344831,2626.16593985
2031,4480.51344831,2626.16593985
2032,4480.51344831,2626.16593985
2033,4480.51344831,2626.16593985
2034,4480.51344831,2626.16593985
2035,4480.51344831,2626.16593985
2036,3457.96906103,1603.62155257
