year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,10691.0,9605.53499451
2018,10691.0,9605.53499451
2019,9668.0,8582.53499451
2020,9668.0,8582.53499451
2021,9668.0,8582.53499451
2022,9668.0,8582.53499451
2023,9668.0,8582.53499451
2024,9668.0,8582.53499451
2025,9668.0,8582.53499451
2026,9668.0,8582.53499451
2027,9668.0,8582.53499451
2028,8646.0,7560.53499451
2029,8646.0,7560.53499451
2030,8646.0,7560.53499451
2031,8646.0,7560.53499451
2032,8646.0,7560.53499451
2033,8646.0,7560.53499451
2034,8646.0,7560.53499451
2035,8646.0,7560.53499451
2036,7623.0,6537.53499451
