year,Base case diesel consumed,Modeled non-residential ashp
2017,1081136.63684,801058.346523
2018,1073776.50872,793698.218397
2019,1072304.48309,792226.192772
2020,1069360.43184,789282.141521
2021,1066416.38059,786338.09027
2022,1063472.32934,783394.03902
2023,1060528.27809,780449.987769
2024,1057584.22684,777505.936519
2025,1053168.14996,773089.859643
2026,1048752.07309,768673.782767
2027,1042863.97059,762785.680266
2028,1036975.86809,756897.577765
2029,1032559.79121,752481.500889
2030,1028143.71433,748065.424013
2031,1031087.76558,751009.475263
