year,Base case diesel consumed,Modeled residential ashp
2017,1081136.63684,138649.582029
2018,1073776.50872,131289.453903
2019,1072304.48309,129817.428277
2020,1069360.43184,126873.377027
2021,1066416.38059,123929.325776
2022,1063472.32934,120985.274526
2023,1060528.27809,118041.223275
2024,1057584.22684,115097.172024
2025,1053168.14996,110681.095149
2026,1048752.07309,106265.018273
2027,1042863.97059,100376.915771
2028,1036975.86809,94488.8132703
2029,1032559.79121,90072.7363944
2030,1028143.71433,85656.6595185
2031,1031087.76558,88600.7107691
