year,Base case diesel consumed,Fivemile creek hydroelectric project,Fivemile creek (chitina),Chitina (haley creek)
2020,42296.3438974,4133.1931419,,
2021,42296.3438974,4133.1931419,0.0,35299.3338048
2022,42296.3438974,4133.1931419,0.0,35299.3338048
2023,42296.3438974,4133.1931419,0.0,35299.3338048
2024,42296.3438974,4133.1931419,0.0,35299.3338048
2025,42296.3438974,4133.1931419,0.0,35299.3338048
2026,42296.3438974,4133.1931419,0.0,35299.3338048
2027,42296.3438974,4133.1931419,0.0,35299.3338048
2028,42296.3438974,4133.1931419,0.0,35299.3338048
2029,42375.998029,4212.84727353,79.6541316335,35378.9879364
2030,42375.998029,4212.84727353,79.6541316335,35378.9879364
2031,42375.998029,4212.84727353,79.6541316335,35378.9879364
2032,42375.998029,4212.84727353,79.6541316335,35378.9879364
2033,42375.998029,4212.84727353,79.6541316335,35378.9879364
2034,42375.998029,4212.84727353,79.6541316335,35378.9879364
2035,42375.998029,4212.84727353,79.6541316335,35378.9879364
2036,42375.998029,4212.84727353,79.6541316335,35378.9879364
2037,42375.998029,4212.84727353,79.6541316335,35378.9879364
2038,42375.998029,4212.84727353,79.6541316335,35378.9879364
2039,42375.998029,4212.84727353,79.6541316335,35378.9879364
2040,42375.998029,4212.84727353,79.6541316335,35378.9879364
2041,42375.998029,4212.84727353,79.6541316335,35378.9879364
2042,42375.998029,4212.84727353,79.6541316335,35378.9879364
2043,42375.998029,4212.84727353,79.6541316335,35378.9879364
2044,42455.6521607,4292.50140517,159.308263267,35458.6420681
2045,42455.6521607,4292.50140517,159.308263267,35458.6420681
2046,42455.6521607,4292.50140517,159.308263267,35458.6420681
2047,42455.6521607,4292.50140517,159.308263267,35458.6420681
2048,42455.6521607,4292.50140517,159.308263267,35458.6420681
2049,42455.6521607,4292.50140517,159.308263267,35458.6420681
2050,42455.6521607,4292.50140517,159.308263267,35458.6420681
