year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,42296.34,1697.58,34994.3,45942.18
2018,42296.34,1700.61,34994.3,45942.18
2019,42296.34,1700.64,34994.3,45942.18
2020,42296.34,1699.28,34994.3,45942.18
2021,42296.34,1695.63,34994.3,45942.18
2022,42296.34,1692.91,34994.3,45942.18
2023,42296.34,1690.42,34994.3,45942.18
2024,42296.34,1685.47,34994.3,45942.18
2025,42296.34,1682.22,34994.3,45942.18
2026,42296.34,1675.28,34994.3,45942.18
2027,42296.34,1673.03,34994.3,45942.18
2028,42296.34,1668.3,34994.3,44541.75
2029,42376.0,1657.51,34994.3,44541.75
2030,42376.0,1648.78,34994.3,44541.75
2031,42376.0,1642.17,34994.3,44541.75
2032,42376.0,,,44541.75
2033,42376.0,,,44541.75
2034,42376.0,,,44541.75
2035,42376.0,,,43141.32
2036,42376.0,,,43141.32
