year,Base case diesel consumed,Modeled solar power (pv)
2016,42296.3438974,41537.4142254
2017,42296.3438974,41543.4856628
2018,42296.3438974,41549.5085287
2019,42296.3438974,41555.4832116
2020,42296.3438974,41561.4100971
2021,42296.3438974,41567.2895675
2022,42296.3438974,41573.1220022
2023,42296.3438974,41578.9077773
2024,42296.3438974,41584.6472663
2025,42296.3438974,41590.3408393
2026,42296.3438974,41595.9888638
2027,42296.3438974,41601.5917041
2028,42296.3438974,41607.1497216
2029,42375.998029,41692.3174067
2030,42375.998029,41697.7868516
2031,42375.998029,41703.2125411
2032,42375.998029,41708.594825
2033,42375.998029,41713.9340506
2034,42375.998029,41719.2305624
2035,42375.998029,41724.4847022
