year,Base case cost,Modeled biomass for heat (cordwood)
2017,599963.228373,644377.68301
2018,671771.169269,710270.000109
2019,772492.419269,802902.493088
2020,822787.198842,848900.058635
2021,856495.798842,879276.778796
2022,881215.438842,901315.362818
2023,900538.309738,918607.464817
2024,916331.989738,932392.217477
2025,935839.729311,949912.359363
2026,958492.029311,970126.95042
2027,976613.869311,986145.383672
2028,994139.440207,1001901.37327
2029,1010592.31931,1016133.12928
2030,1021918.46931,1025885.02205
2031,1044570.76931,1046196.66369
2032,1075698.73978,1075002.0427
2033,1102856.31935,1099854.6743
2034,1134613.88982,1129324.52674
2035,1155268.48072,1148179.16673
2036,1187601.78119,1178258.00706
