year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,222925.0,207226.966881
2018,223825.0,208126.966881
2019,223825.0,208126.966881
2020,224724.0,209025.966881
2021,224724.0,209025.966881
2022,224724.0,209025.966881
2023,225624.0,209925.966881
2024,225624.0,209925.966881
2025,226523.0,210824.966881
2026,226523.0,210824.966881
2027,226523.0,210824.966881
2028,227423.0,211724.966881
2029,226523.0,210824.966881
2030,226523.0,210824.966881
2031,226523.0,210824.966881
2032,228322.0,212623.966881
2033,229221.0,213522.966881
2034,231020.0,215321.966881
2035,231920.0,216221.966881
2036,233719.0,218020.966881
