year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.85
2001,,,1.56
2003,,1.49,1.71
2004,,1.66,2.12
2005,,2.2,2.79
2008,,3.72,4.49
2009,,2.7,2.74
2010,,3.06,3.48
2011,,3.75,4.32
2012,,4.19,5.06
2013,,4.16,5.07
2014,,,5.42
2016,,1.83,2.27
2017,,2.25,2.69
2018,,2.56,3.0
2019,,3.01,3.45
2020,,3.22,3.66
2021,,3.37,3.81
2022,,3.48,3.92
2023,,3.55,3.99
2024,,3.62,4.06
2025,,3.69,4.13
2026,,3.79,4.23
2027,,3.87,4.31
2028,,3.93,4.37
2029,,4.02,4.46
2030,,4.07,4.51
2031,,4.17,4.61
2032,,4.27,4.71
2033,,4.37,4.81
2034,,4.47,4.91
2035,,4.54,4.98
2036,,4.64,5.08
2037,,4.71,5.15
2038,,4.82,5.26
2039,,4.9,5.34
2040,,5.02,5.46
