year,annotation,Average Load
2003,,172.0
2004,,173.0
2005,,164.0
2006,,168.0
2007,,175.0
2008,,179.0
2009,,177.0
2010,,191.0
2011,,208.0
2012,,212.0
2013,,202.0
2014,start of forecast,196.0
2015,,195.0
2016,,195.0
2017,,194.0
2018,,194.0
2019,,194.0
2020,,194.0
2021,,194.0
2022,,194.0
2023,,194.0
2024,,193.0
2025,,193.0
2026,,193.0
2027,,193.0
2028,,193.0
2029,,193.0
2030,,193.0
2031,,193.0
2032,,193.0
2033,,192.0
2034,,192.0
2035,,191.0
2036,,191.0
2037,,190.0
2038,,189.0
2039,,189.0
2040,,188.0
