year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,222925.0,205657.163569
2018,223825.0,206557.163569
2019,223825.0,206557.163569
2020,224724.0,207456.163569
2021,224724.0,207456.163569
2022,224724.0,207456.163569
2023,225624.0,208356.163569
2024,225624.0,208356.163569
2025,226523.0,209255.163569
2026,226523.0,209255.163569
2027,226523.0,209255.163569
2028,227423.0,210155.163569
2029,226523.0,209255.163569
2030,226523.0,209255.163569
2031,226523.0,209255.163569
2032,228322.0,211054.163569
2033,229221.0,211953.163569
2034,231020.0,213752.163569
2035,231920.0,214652.163569
2036,233719.0,216451.163569
