year,Base case cost,Modeled biomass for heat (pellet)
2017,599963.228373,628924.660633
2018,671771.169269,694938.535913
2019,772492.419269,787458.559986
2020,822787.198842,833706.488895
2021,856495.798842,864414.166348
2022,881215.438842,886833.224142
2023,900538.309738,904555.627545
2024,916331.989738,918758.020962
2025,935839.729311,936683.439689
2026,958492.029311,957244.139352
2027,976613.869311,973628.286133
2028,994139.440207,989769.870532
2029,1010592.31931,1004328.88233
2030,1021918.46931,1014459.84166
2031,1044570.76931,1035061.3357
2032,1075698.73978,1064146.09448
2033,1102856.31935,1089267.87865
2034,1134613.88982,1118996.89618
2035,1155268.48072,1138148.04195
2036,1187601.78119,1168466.76915
