year,Base case cost,Bettles (jane creek)
2021,152755.113389,1155230.98628
2022,157164.95711,1155571.66509
2023,160624.514995,1155775.89105
2024,162851.322138,1155561.19924
2025,166279.677504,1155734.22268
2026,170158.542222,1155950.83897
2027,173096.974529,1156040.85584
2028,176023.911171,1156119.37704
2029,179081.120791,1155921.25473
2030,181059.413834,1155864.96531
2031,185323.09839,1156059.48496
2032,189112.461147,1156186.59929
2033,192996.788768,1156001.762
2034,197203.81612,1156139.62444
2035,199575.96131,1156070.27068
2036,203384.745992,1155809.89044
2037,206181.124728,1155757.85374
2038,210319.999211,1155827.56331
2039,213541.432612,1155793.66478
2040,217700.550139,1155476.7009
2041,217302.30747,1155078.45823
2042,216904.0648,1154680.21556
2043,216505.82213,1154281.97289
2044,216107.579461,1153883.73022
2045,215709.336791,1153485.48755
2046,215311.094121,1153087.24488
2047,214912.851451,1152689.00221
2048,214514.608782,1152290.75954
2049,214116.366112,1151892.51687
2050,213718.123442,1151494.2742
