year,Base case diesel consumed,Bettles (jane creek)
2021,46857.396745,7956.84255868
2022,46775.2848543,7874.73066801
2023,46693.1729636,7792.61877734
2024,46528.9491823,7628.39499601
2025,46446.8372916,7546.28310534
2026,46364.725401,7464.17121467
2027,46282.6135103,7382.05932401
2028,46200.5016196,7299.94743334
2029,46036.2778383,7135.723652
2030,45954.1659476,7053.61176134
2031,45872.054057,6971.49987067
2032,45789.9421663,6889.38798
2033,45625.718385,6725.16419867
2034,45543.6064943,6643.052308
2035,45461.4946036,6560.94041733
2036,45297.2708223,6396.716636
2037,45215.1589316,6314.60474533
2038,45133.047041,6232.49285466
2039,45050.9351503,6150.380964
2040,44886.711369,5986.15718266
2041,44804.5994783,5904.04529199
2042,44722.4875876,5821.93340133
2043,44640.375697,5739.82151066
2044,44558.2638063,5657.70961999
2045,44476.1519156,5575.59772932
2046,44394.040025,5493.48583866
2047,44311.9281343,5411.37394799
2048,44229.8162436,5329.26205732
2049,44147.704353,5247.15016666
2050,44065.5924623,5165.03827599
