year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,55944.07,10805.58,897272.36,443030.36
2018,55944.07,10569.89,897272.36,412456.47
2019,55944.07,10620.48,897272.36,419067.04
2020,55944.07,10657.43,897272.36,424024.97
2021,55944.07,10692.98,897272.36,428982.9
2022,55944.07,10822.83,897272.36,445509.32
2023,55944.07,11000.34,897272.36,468646.32
2024,55944.07,11315.89,897272.36,509962.38
2025,55944.07,11622.77,897272.36,549625.8
2026,55944.07,11923.62,897272.36,588462.9
2027,55944.07,12094.07,897272.36,610773.57
2028,55944.07,12226.77,897272.36,628126.32
2029,55944.07,13758.69,897272.36,827269.74
2030,55944.07,15250.94,897272.36,1021455.24
2031,55944.07,16475.46,897272.36,1180108.92
2032,55944.07,,,1151187.68
2033,55944.07,,,1069381.87
2034,55944.07,,,1004928.82
2035,55944.07,,,998318.25
2036,55944.07,,,1073513.48
