year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10805.5819562,7023.62827152
2018,10569.885952,6870.42586882
2019,10620.4795767,6903.31172487
2020,10657.4314932,6927.33047057
2021,10692.9798306,6950.43688991
2022,10822.8270836,7034.83760434
2023,11000.3366405,7150.21881633
2024,11315.8908916,7355.32907953
2025,11622.7699448,7554.80046409
2026,11923.6217058,7750.35410876
2027,12094.0674814,7861.14386293
2028,12226.7650794,7947.39730164
2029,13758.6851877,8943.145372
2030,15250.9406932,9913.11145055
2031,16475.4581053,10709.0477684
