year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,53287.9,233290.58,267973.41,20953.23,210081.94,202680.31
2018,56700.98,248270.37,279377.96,21787.54,218360.8,210667.49
2019,61088.83,267530.09,294040.94,22860.09,229005.05,220936.72
2020,63130.03,276517.97,300883.67,23366.65,233972.37,225729.03
2021,64584.38,282937.87,305771.33,23731.84,237520.45,229152.11
2022,65553.36,287217.81,309029.77,23975.76,239885.84,231434.16
2023,66328.25,290641.76,311636.52,24171.11,241778.15,233259.8
2024,66906.43,293209.73,321504.24,24320.42,243197.39,239621.14
2025,67579.64,296205.69,323842.7,24495.81,244853.16,241252.56
2026,68440.67,300057.63,326849.29,24725.46,246982.01,243350.11
2027,69105.76,303053.59,329187.76,24908.27,248637.78,244981.53
2028,69670.68,305621.55,331192.15,25069.68,250057.02,246379.9
2029,70430.13,309045.5,333864.68,25278.97,251949.33,248244.38
2030,70889.51,311185.47,343792.98,25423.84,253132.02,254605.72
2031,71642.93,314609.42,346531.28,25638.41,255024.33,256509.05
2032,,,349611.87,,,258650.29
2033,,,352692.46,,,260791.53
2034,,,355773.05,,,262932.78
2035,,,366421.84,,,269755.38
2036,,,369576.42,,,271940.33
