year,Base case cost,Modeled residential energy efficiency
2017,470653.719894,438393.276643
2018,490045.444133,452986.793578
2019,514977.661011,472125.947504
2020,526612.695554,480451.83851
2021,534923.434514,486094.642608
2022,540463.927153,489505.43524
2023,544896.321265,492038.732191
2024,561125.377412,506598.686295
2025,565095.262956,508821.861727
2026,570199.401512,511998.765959
2027,574169.287056,514269.673252
2028,577572.046094,516098.820818
2029,582109.058144,518880.038694
2030,598398.695415,533742.854819
2031,603040.325403,536672.102509
2032,608262.159141,540100.163241
2033,613483.992878,543548.678904
2034,618705.826615,547017.170089
2035,636177.22078,563061.738752
2036,641516.749698,566686.482611
