year,Base case cost,Modeled water and wastewater efficiency
2017,74241.1328024,56413.9164888
2018,78488.5235251,59116.076524
2019,83948.9189107,62633.8436242
2020,86496.6877547,64205.0564177
2021,88316.2151683,65291.9501356
2022,89529.1125616,65975.5092013
2023,90499.3607301,66499.5182732
2024,91226.8476685,66864.0849746
2025,92075.4492317,67312.8729272
2026,93166.1267118,67927.2570359
2027,94014.0307049,68381.9092002
2028,94740.3646589,68758.089836
2029,95709.0966646,69299.2435492
2030,96313.3510347,69599.6109705
2031,97281.3448801,70145.8844269
