year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,42799.0,31646.1078288
2018,42799.0,31646.1078288
2019,42799.0,31646.1078288
2020,42799.0,31646.1078288
2021,42799.0,31646.1078288
2022,42799.0,31646.1078288
2023,42799.0,31646.1078288
2024,42799.0,31646.1078288
2025,42799.0,31646.1078288
2026,42799.0,31646.1078288
2027,42799.0,31646.1078288
2028,42799.0,31646.1078288
2029,42799.0,31646.1078288
2030,42799.0,31646.1078288
2031,42799.0,31646.1078288
2032,,
2033,,
2034,,
2035,,
2036,,
