year,Base case diesel consumed,Modeled transmission and interties
2021,73765.8863223,0.0
2022,73765.8863223,0.0
2023,73765.8863223,0.0
2024,73765.8863223,0.0
2025,73765.8863223,0.0
2026,73765.8863223,0.0
2027,73765.8863223,0.0
2028,73765.8863223,0.0
2029,73765.8863223,0.0
2030,73765.8863223,0.0
2031,73765.8863223,0.0
2032,73689.2066068,0.0
2033,73689.2066068,0.0
2034,73689.2066068,0.0
2035,73689.2066068,0.0
2036,73689.2066068,0.0
2037,73689.2066068,0.0
2038,73689.2066068,0.0
2039,73689.2066068,0.0
2040,73689.2066068,0.0
