year,Base case diesel consumed,Modeled residential ashp
2017,72972.8495823,9966.19942649
2018,72972.8495823,9966.19942649
2019,74224.8538375,11218.2036817
2020,74224.8538375,11218.2036817
2021,74224.8538375,11218.2036817
2022,75476.8580928,12470.2079369
2023,75476.8580928,12470.2079369
2024,75476.8580928,12470.2079369
2025,75476.8580928,12470.2079369
2026,76728.862348,13722.2121922
2027,76728.862348,13722.2121922
2028,76728.862348,13722.2121922
2029,77980.8666032,14974.2164474
2030,77980.8666032,14974.2164474
2031,77980.8666032,14974.2164474
