year,Base case cost,Modeled water and wastewater efficiency
2017,19813.6012224,25229.0610968
2018,20909.5099561,25701.6152351
2019,22315.6172748,26390.093214
2020,23077.4792472,26648.8451707
2021,23637.513552,26776.8005957
2022,23997.8689731,26774.9250843
2023,24282.1399124,26727.2980385
2024,24521.0902216,26654.5409928
2025,24811.0428546,26621.9507856
2026,25248.4300746,26695.6785171
2027,25620.7356803,26730.2895298
2028,25908.3773942,26712.2179711
2029,26277.0635167,26754.0467611
2030,26533.7617686,26724.978886
2031,26897.4489696,26773.0100073
