year,Base case diesel consumed,Modeled transmission and interties
2021,171649.148277,85824.5741387
2022,171649.148277,85824.5741387
2023,171649.148277,85824.5741387
2024,171649.148277,85824.5741387
2025,171649.148277,85824.5741387
2026,171649.148277,85824.5741387
2027,171649.148277,85824.5741387
2028,171649.148277,85824.5741387
2029,171649.148277,85824.5741387
2030,171649.148277,85824.5741387
2031,171649.148277,85824.5741387
2032,171649.148277,85824.5741387
2033,171649.148277,85824.5741387
2034,171649.148277,85824.5741387
2035,171649.148277,85824.5741387
2036,171649.148277,85824.5741387
2037,171649.148277,85824.5741387
2038,171649.148277,85824.5741387
2039,171649.148277,85824.5741387
2040,171649.148277,85824.5741387
