year,Base case diesel consumed,Modeled non-residential ashp
2017,73413.7263878,46579.9392581
2018,73413.7263878,46579.9392581
2019,74445.4866618,47611.6995321
2020,75477.2469358,48643.4598061
2021,76509.0072098,49675.22008
2022,77540.7674837,50706.980354
2023,78572.5277577,51738.740628
2024,79604.2880317,52770.500902
2025,80636.0483057,53802.2611759
2026,81667.8085797,54834.0214499
2027,82699.5688536,55865.7817239
2028,83731.3291276,56897.5419979
2029,84763.0894016,57929.3022718
2030,85794.8496756,58961.0625458
2031,85794.8496756,58961.0625458
