year,Base case diesel consumed,Modeled residential ashp
2017,48788.8911262,13695.9221174
2018,48788.8911262,13695.9221174
2019,48788.8911262,13695.9221174
2020,48788.8911262,13695.9221174
2021,48788.8911262,13695.9221174
2022,46841.909228,11748.9402192
2023,46841.909228,11748.9402192
2024,46841.909228,11748.9402192
2025,46841.909228,11748.9402192
2026,46841.909228,11748.9402192
2027,46841.909228,11748.9402192
2028,46841.909228,11748.9402192
2029,44894.9273298,9801.95832106
2030,44894.9273298,9801.95832106
2031,44894.9273298,9801.95832106
