year,Base case diesel consumed,Modeled non-residential ashp
2017,48788.8911262,37914.103013
2018,48788.8911262,37914.103013
2019,48788.8911262,37914.103013
2020,48788.8911262,37914.103013
2021,48788.8911262,37914.103013
2022,46841.909228,35967.1211149
2023,46841.909228,35967.1211149
2024,46841.909228,35967.1211149
2025,46841.909228,35967.1211149
2026,46841.909228,35967.1211149
2027,46841.909228,35967.1211149
2028,46841.909228,35967.1211149
2029,44894.9273298,34020.1392167
2030,44894.9273298,34020.1392167
2031,44894.9273298,34020.1392167
