year,Base case cost,Chenega bay hydroelectric construction -- anderson creek,South lake creek (chenega bay),Chenega bay -- anderson creek,Thumb bay (unnamed creek),"New chenega (crab bay, chenega bay) -- unnamed creek, near crab bay",Hayden lake
2018,76090.9297328,186625.21336,,,,,
2019,88947.1524618,195823.548594,,,,,
2020,95116.8971412,200271.934452,,,,,
2021,99487.1329558,203422.874434,320957.15773,155036.844106,517867.70135,159134.106524,289156.626039
2022,102829.07799,205832.416774,321293.290001,156522.716942,519456.689307,161141.881849,291811.136926
2023,105142.732245,207500.561471,321525.996959,157551.398136,520556.757893,162531.880151,293648.875232
2024,106942.24111,208798.007346,321706.991259,158351.483509,521412.366794,163612.989942,295078.227248
2025,109255.895365,210466.152043,321939.698216,159380.164702,522512.43538,165002.988243,296915.965555
2026,112083.69501,212504.995561,322224.117831,160637.441717,523856.963651,166701.875057,299162.090151
2027,114397.349264,214173.140258,322456.824788,161666.122911,524957.032237,168091.873359,300999.828458
2028,116453.930824,215655.935544,322663.675417,162580.506195,525934.870981,169327.427405,302633.373619
2029,118625.246171,217110.018049,322522.8271,163324.073696,526757.757806,170472.458359,304275.893467
2030,120162.50638,218216.938553,322672.789111,164004.685198,527485.960903,171393.947934,305495.876378
2031,122980.816764,220246.292811,322947.719465,165252.472952,528820.999915,173083.345486,307732.511714
2032,125799.127149,222275.647068,323222.64982,166500.260706,530156.038926,174772.743039,309969.14705
2033,128873.647568,224489.488077,323522.573842,167861.483711,531612.44512,176615.722188,312409.112872
2034,131948.167987,226703.329085,323822.497865,169222.706715,533068.851314,178458.701337,314849.078693
2035,133741.638231,227994.73634,323997.453545,170016.753468,533918.421594,179533.772507,316272.392088
2036,137072.368685,230393.064099,324322.371236,171491.411723,535496.194971,181530.333251,318915.688395
2037,138865.83893,231684.471354,324497.326916,172285.458476,536345.765251,182605.404421,320339.001791
2038,141940.359349,233898.312363,324797.250938,173646.68148,537802.171445,184448.383569,322778.967612
2039,144015.91943,235256.639601,324560.647356,174294.493716,538529.303005,185497.659258,324325.732195
2040,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
2041,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
2042,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
2043,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
2044,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
2045,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
2046,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
2047,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
2048,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
2049,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
2050,147335.435303,237643.75278,324874.350466,175757.93739,540095.861802,187483.005422,326957.81392
