year,Base case cost,Modeled residential energy efficiency
2017,751530.440509,742874.85705
2018,810439.298985,792222.241491
2019,876680.545404,846512.803528
2020,912528.076541,875596.00692
2021,952180.165503,909657.335772
2022,976590.648201,929426.382558
2023,996991.974487,945911.386332
2024,1016152.7956,961433.965342
2025,1047605.79621,989079.802708
2026,1071729.53041,1009003.33491
2027,1103984.89775,1037555.64157
2028,1124129.75353,1054270.51877
2029,1158670.21668,1084984.34751
2030,1176122.11619,1099548.9288
2031,1213008.23113,1132480.23634
