year,Base case diesel consumed,Modeled residential ashp
2017,13841.1111229,-72758.7017417
2018,14186.6642973,-72413.1485672
2019,14359.4408845,-72240.37198
2020,14532.2174718,-72067.5953928
2021,14877.7706462,-71722.0422183
2022,15050.5472334,-71549.2656311
2023,15223.3238206,-71376.4890439
2024,15396.1004079,-71203.7124567
2025,15741.6535823,-70858.1592822
2026,15914.4301695,-70685.382695
2027,16259.983344,-70339.8295206
2028,16432.7599312,-70167.0529334
2029,16778.3131056,-69821.4997589
2030,16951.0896929,-69648.7231717
2031,17296.6428673,-69303.1699972
