year,Base case diesel consumed,Modeled transmission and interties
2021,218117.992595,109058.996298
2022,220428.156683,110214.078341
2023,222738.32077,111369.160385
2024,225048.484858,112524.242429
2025,227551.162619,113775.58131
2026,230053.840381,115026.92019
2027,233326.572838,116663.286419
2028,236214.277947,118107.138974
2029,239872.037753,119936.018876
2030,242567.229188,121283.614594
2031,245454.934297,122727.467149
2032,248150.125733,124075.062866
2033,251037.830842,125518.915421
2034,254310.5633,127155.28165
2035,257005.754735,128502.877367
2036,259893.459844,129946.729922
2037,262781.164954,131390.582477
2038,265283.842715,132641.921358
2039,268171.547825,134085.773912
2040,272214.334978,136107.167489
