year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,15112.5191089,1118.77029957
2018,15188.1421299,1124.36862433
2019,15264.4697303,1130.01910865
2020,15356.0979426,1136.80228767
2021,15429.7607526,1142.25549924
2022,15496.9082599,1147.22638704
2023,15565.8528558,1152.33031218
2024,15635.1812692,1157.46265109
2025,15708.3464872,1162.87902623
2026,15786.0407521,1168.63068388
2027,15884.0019538,1175.88269012
2028,15965.6029329,1181.92355936
2029,16074.2849809,1189.96922313
2030,16157.0319295,1196.09492777
2031,16241.0208021,1202.31257126
