year,Base case diesel consumed,Burro creek hydro feasibility study
2021,264070.645573,0.0
2022,265109.992438,1039.34686581
2023,266182.484546,2111.83897296
2024,267460.034109,3389.38853627
2025,268540.588324,4469.94275172
2026,269881.08814,5810.44256689
2027,271138.576986,7067.93141318
2028,272463.241871,8392.59629875
2029,274090.865815,10020.2202425
2030,275863.439765,11792.7941925
2031,277635.361878,13564.7163054
2032,279630.232678,15559.5871058
2033,281402.825355,17332.179782
2034,283323.150163,19252.5045901
2035,285539.152352,21468.5067797
2036,287902.72795,23832.0823774
2037,290487.918837,26417.2732639
2038,293220.868804,29150.2232317
2039,296101.513716,32030.8681437
2040,298982.168195,34911.5226224
2041,302306.004281,38235.3587082
2042,305777.560443,41706.9148701
2043,309396.845058,45326.1994852
2044,313163.855792,49093.2102193
2045,317152.454354,53081.8087811
2046,321510.368235,57439.7226627
2047,326237.596781,62166.951208
2048,330743.236333,66672.5907608
2049,336135.231351,72064.5857784
2050,341822.678117,77752.0325448
2051,341822.678102,77752.0325291
2052,341822.67811,77752.0325378
2053,341822.67811,77752.0325372
2054,341822.678107,77752.0325347
2055,341822.678109,77752.0325365
2056,341822.678109,77752.0325361
2057,341822.678108,77752.0325358
2058,341822.678109,77752.0325362
2059,341822.678109,77752.032536
2060,341822.678109,77752.032536
2061,341822.678109,77752.0325361
2062,341822.678109,77752.032536
2063,341822.678109,77752.032536
2064,341822.678109,77752.032536
2065,341822.678109,77752.032536
2066,341822.678109,77752.032536
2067,341822.678109,77752.032536
2068,341822.678109,77752.032536
2069,341822.678109,77752.032536
2070,341822.678109,77752.032536
