year,Base case cost,Modeled solar power
2020,715600.62563,746204.113739
2021,749960.633426,779461.289244
2022,779423.377769,807905.04245
2023,798547.453637,826151.105264
2024,818427.704373,845173.783953
2025,837846.635572,863755.128019
2026,863619.482047,888652.254596
2027,886623.146744,910828.830877
2028,904577.963013,928032.443234
2029,931908.943772,954545.573793
2030,948970.232792,970919.46135
2031,980052.82743,1001192.70675
2032,1009465.13997,1029841.54388
2033,1038376.42556,1058006.91326
2034,1070961.50762,1089836.2153
2035,1096470.34503,1114686.98455
2036,1131457.72084,1148952.04026
2037,1156141.91697,1173036.01627
2038,1193408.93603,1209612.53649
2039,1225860.26679,1241441.13856
