year,Base case cost,Burro creek hydro feasibility study
2021,749960.633426,491921.239743
2022,779423.377769,477752.805141
2023,798547.453637,465666.343097
2024,818427.704373,454641.900071
2025,837846.635572,443454.813574
2026,863619.482047,432859.589859
2027,886623.146744,422806.888039
2028,904577.963013,414037.229861
2029,931908.943772,405834.787878
2030,948970.232792,399735.388398
2031,980052.82743,392782.033872
2032,1009465.13997,387438.249784
2033,1038376.42556,381840.497774
2034,1070961.50762,377130.946642
2035,1096470.34503,374661.357067
2036,1131457.72084,372819.805053
2037,1156141.91697,373007.228816
2038,1193408.93603,373889.45136
2039,1225860.26679,376224.003431
2040,1267684.39315,379060.025765
2041,1281777.45815,384637.99062
2042,1296496.85628,391041.861258
2043,1311842.62305,398266.995636
2044,1327814.74856,406308.816136
2045,1344726.40646,415476.035559
2046,1363203.96132,426390.662211
2047,1383247.41035,439048.439194
2048,1402351.32205,450939.780476
2049,1425213.38093,466758.313572
2050,1449328.15522,483994.644724
2051,1449328.15515,477277.415039
2052,1449328.15519,470717.620501
2053,1449328.15519,464311.571161
2054,1449328.15518,458055.663553
2055,1449328.15518,451946.3788
2056,1449328.15518,445980.280403
2057,1449328.15518,440154.012419
2058,1449328.15518,434464.297647
2059,1449328.15518,428907.935521
2060,1449328.15518,423481.800614
2061,1449328.15518,418182.840788
2062,1449328.15518,413008.07529
2063,1449328.15518,407954.593373
2064,1449328.15518,403019.552452
2065,1449328.15518,398200.176595
2066,1449328.15518,393493.75475
2067,1449328.15518,388897.639752
2068,1449328.15518,384409.246163
2069,1449328.15518,380026.049345
2070,1449328.15518,375745.583686
