year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,793525.0,751736.21267
2018,806368.0,764579.21267
2019,817789.0,776000.21267
2020,829204.0,787415.21267
2021,839192.0,797403.21267
2022,852037.0,810248.21267
2023,863455.0,821666.21267
2024,877727.0,835938.21267
2025,891993.0,850204.21267
2026,906268.0,864479.21267
2027,921961.0,880172.21267
2028,936235.0,894446.21267
2029,954789.0,913000.21267
2030,974768.0,932979.21267
2031,996173.0,954384.21267
2032,1019006.0,977217.21267
2033,1038988.0,997199.21267
2034,1061818.0,1020029.21267
2035,1086083.0,1044294.21267
2036,1113197.0,1071408.21267
