year,Base case diesel consumed,Modeled wind power
2019,262040.242007,201625.587059
2020,263088.465305,202673.810357
2021,264070.645573,203655.990625
2022,265109.992438,204695.337491
2023,266182.484546,205767.829598
2024,267460.034109,207045.379161
2025,268540.588324,208125.933377
2026,269881.08814,209466.433192
2027,271138.576986,210723.922038
2028,272463.241871,212048.586924
2029,274090.865815,213676.210867
2030,275863.439765,215448.784817
2031,277635.361878,217220.70693
2032,279630.232678,219215.577731
2033,281402.825355,220988.170407
2034,283323.150163,222908.495215
2035,285539.152352,225124.497405
2036,287902.72795,227488.073002
2037,290487.918837,230073.263889
2038,293220.868804,232806.213857
