year,Base case cost,Modeled diesel efficiency
2019,665582.214698,918106.82025
2020,715600.62563,956241.413541
2021,749960.633426,980313.04856
2022,779423.377769,1000100.54939
2023,798547.453637,1010653.24848
2024,818427.704373,1022053.52356
2025,837846.635572,1033190.80822
2026,863619.482047,1050257.10503
2027,886623.146744,1064955.10984
2028,904577.963013,1075208.90291
2029,931908.943772,1094128.71855
2030,948970.232792,1103851.35391
2031,980052.82743,1126456.27822
2032,1009465.13997,1147675.23253
2033,1038376.42556,1168568.07138
2034,1070961.50762,1192927.05679
2035,1096470.34503,1210976.46321
2036,1131457.72084,1237763.2019
2037,1156141.91697,1255301.0691
2038,1193408.93603,1284392.76414
