year,Base case cost,Modeled wind power
2019,665582.214698,937842.244793
2020,715600.62563,967464.123617
2021,749960.633426,985448.141537
2022,779423.377769,1000010.23442
2023,798547.453637,1006974.3274
2024,818427.704373,1014890.28812
2025,837846.635572,1022536.03571
2026,863619.482047,1035452.18639
2027,886623.146744,1046416.47821
2028,904577.963013,1053780.04285
2029,931908.943772,1068788.37288
2030,948970.232792,1076237.0268
2031,980052.82743,1094697.39586
2032,1009465.13997,1112284.42595
2033,1038376.42556,1129528.5086
2034,1070961.50762,1149965.69245
2035,1096470.34503,1165382.59725
2036,1131457.72084,1188520.05414
2037,1156141.91697,1204038.38286
2038,1193408.93603,1229739.65824
