year,Base case cost,Modeled biomass for heat (pellet)
2017,1857898.50656,1942612.29337
2018,2105687.48065,2178050.97106
2019,2438093.33313,2493952.66381
2020,2621381.85766,2668701.32731
2021,2753660.19396,2794970.98637
2022,2881012.4907,2917173.67902
2023,2971427.7392,3004133.6263
2024,3073205.92417,3102478.72818
2025,3176675.38119,3202536.79954
2026,3300014.71013,3321650.15592
2027,3421695.26539,3439543.31875
2028,3521482.443,3536399.08697
2029,3667653.15399,3678404.45861
2030,3783389.67056,3791666.4585
2031,3956124.96404,3959856.61542
2032,4128322.66708,4127945.44819
2033,4292395.24762,4287927.10613
2034,4482276.97669,4473317.55175
2035,4649872.36458,4637692.43604
2036,4866143.89231,4849506.51162
